docid|entityid|type
26|Pamela Reinagel|Author
26|Emily Mankin|Author
26|Adam Calhoun|Author
27|A Latent Gaussian Process Model With Application To Monitoring Clinical Trials|Paper
27|Yanxun Xu|Author
27|Yuan Ji|Author
27|Bayesian Trial Monitoring Scheme|Topic
27|Latent Gaussian Process (Lgp)|Topic
28|Clinical Trial Site Matching With Improved Diversity Using Fair Policy Learning|Paper
28|Clinical Trials|Topic
28|Diversity And Inclusion|Topic
28|Feasibility|Topic
28|Fairness In Machine Learning|Topic
28|Demographic Parity|Topic
28|Patient Groups|Topic
29|Ongoing Vaccine And Monoclonal Antibody Hiv Prevention Efficacy Trials And Considerations For Sequel Efficacy Trial Designs|Paper
29|Hvtn 702|Topic
29|Hvtn 705|Topic
29|Hvtn 703/Hptn 081|Topic
29|Hvtn 704/Hptn 085|Topic
29|Hiv-1|Topic
29|Statistical Science Considerations|Topic
29|Correlates Of Protection|Topic
29|Monoclonal Antibody Trials|Topic
