docid|entityid|type
16|Jimeng Sun|Author
16|Clinical Trial Outcomes|Topic
16|Drug Discovery And Development|Topic
17|Clinical Trials|Topic
17|Nlp|Topic
17|Eligibility Classification|Topic
17|Phase 3 Cancer Trials|Topic
17|Non-Cancer Trials|Topic
17|Phase 1 And 2 Cancer Trials|Topic
17|Heart Disease Trials|Topic
17|Type 2 Diabetes Trials|Topic
17|Observational Trials|Topic
17|Yumeng Yang|Author
17|Ashley Gilliam|Author
17|Ethan B Ludmir|Author
17|Kirk Roberts|Author
17|Annotated Eligibility Criteria Dataset|Topic
17|Few-Shot Learning|Topic
17|Cross-Disease Generalization|Topic
18|Trialsynth|Topic
18|Chufan Gao|Author
18|Mandis Beigi|Author
18|Afrah Shafquat|Author
18|Jacob Aptekar|Author
18|Jimeng Sun|Author
19|Natural Language Processing (Nlp) Of Clinical Trial Documents|Topic
19|Ct-Bert|Topic
19|Xiong Liu|Author
19|Greg L. Hersch|Author
19|Iya Khalil|Author
19|Murthy Devarakonda|Author
19|Clinical Trial Nlp|Topic
19|Named Entity Recognition (Ner) Models|Topic
19|Eligibility Criteria Entities|Topic
19|Attention-Based Bilstm|Topic
19|Criteria2Query|Topic
