docid,title,abstract,url,authors
10,Assessment of Immune Correlates of Protection via Controlled Vaccine Efficacy and Controlled Risk,"Immune correlates of protection (CoPs) are immunologic biomarkers accepted asa surrogate for an infectious disease clinical endpoint and thus can be usedfor traditional or provisional vaccine approval. To study CoPs in randomized,placebo-controlled trials, correlates of risk (CoRs) are first assessed invaccine recipients. This analysis does not assess causation, as a CoR may failto be a CoP. We propose a causal CoP analysis that estimates the controlledvaccine efficacy curve across biomarker levels $s$, $CVE(s)$, equal to oneminus the ratio of the controlled-risk curve $r_C(s)$ at $s$ and placebo risk,where $r_C(s)$ is causal risk if all participants are assigned vaccine and thebiomarker is set to $s$. The criterion for a useful CoP is wide variability of$CVE(s)$ in $s$. Moreover, estimation of $r_C(s)$ is of interest in itself,especially in studies without a placebo arm. For estimation of $r_C(s)$,measured confounders can be adjusted for by any regression method thataccommodates missing biomarkers, to which we add sensitivity analysis toquantify robustness of CoP evidence to unmeasured confounding. Application totwo harmonized phase 3 trials supports that 50% neutralizing antibody titer hasvalue as a controlled vaccine efficacy CoP for virologically confirmed dengue(VCD): in CYD14 the point estimate (95% confidence interval) for $CVE(s)$accounting for measured confounders and building in conservative margin forunmeasured confounding increases from 29.6% (95% CI 3.5 to 45.9) at titer 1:36to 78.5% (95% CI 67.9 to 86.8) at titer 1:1200; these estimates are 17.4% (95%CI -14.4 to 36.5) and 84.5% (95% CI 79.6 to 89.1) for CYD15.",http://arxiv.org/abs/2107.05734v1,"Peter B. Gilbert,Youyi Fong,Marco Carone"
11,Trial2Vec: Zero-Shot Clinical Trial Document Similarity Search using Self-Supervision,"Clinical trials are essential for drug development but are extremelyexpensive and time-consuming to conduct. It is beneficial to study similarhistorical trials when designing a clinical trial. However, lengthy trialdocuments and lack of labeled data make trial similarity search difficult. Wepropose a zero-shot clinical trial retrieval method, Trial2Vec, which learnsthrough self-supervision without annotating similar clinical trials.Specifically, the meta-structure of trial documents (e.g., title, eligibilitycriteria, target disease) along with clinical knowledge (e.g., UMLS knowledgebase https://www.nlm.nih.gov/research/umls/index.html) are leveraged toautomatically generate contrastive samples. Besides, Trial2Vec encodes trialdocuments considering meta-structure thus producing compact embeddingsaggregating multi-aspect information from the whole document. We show that ourmethod yields medically interpretable embeddings by visualization and it gets a15% average improvement over the best baselines on precision/recall for trialretrieval, which is evaluated on our labeled 1600 trial pairs. In addition, weprove the pre-trained embeddings benefit the downstream trial outcomeprediction task over 240k trials. Software ias available athttps://github.com/RyanWangZf/Trial2Vec.",http://arxiv.org/abs/2206.14719v2,"Zifeng Wang,Jimeng Sun"
12,SPOT: Sequential Predictive Modeling of Clinical Trial Outcome with Meta-Learning,"Clinical trials are essential to drug development but time-consuming, costly,and prone to failure. Accurate trial outcome prediction based on historicaltrial data promises better trial investment decisions and more trial success.Existing trial outcome prediction models were not designed to model therelations among similar trials, capture the progression of features and designsof similar trials, or address the skewness of trial data which causes inferiorperformance for less common trials.  To fill the gap and provide accurate trial outcome prediction, we proposeSequential Predictive mOdeling of clinical Trial outcome (SPOT) that firstidentifies trial topics to cluster the multi-sourced trial data into relevanttrial topics. It then generates trial embeddings and organizes them by topicand time to create clinical trial sequences. With the consideration of eachtrial sequence as a task, it uses a meta-learning strategy to achieve a pointwhere the model can rapidly adapt to new tasks with minimal updates. Inparticular, the topic discovery module enables a deeper understanding of theunderlying structure of the data, while sequential learning captures theevolution of trial designs and outcomes. This results in predictions that arenot only more accurate but also more interpretable, taking into account thetemporal patterns and unique characteristics of each trial topic. Wedemonstrate that SPOT wins over the prior methods by a significant margin ontrial outcome benchmark data: with a 21.5\% lift on phase I, an 8.9\% lift onphase II, and a 5.5\% lift on phase III trials in the metric of the area underprecision-recall curve (PR-AUC).",http://arxiv.org/abs/2304.05352v1,"Zifeng Wang,Cao Xiao,Jimeng Sun"
13,Automatically Labeling $200B Life-Saving Datasets: A Large Clinical Trial Outcome Benchmark,"The global cost of drug discovery and development exceeds $200 billionannually. The main results of drug discovery and development are the outcomesof clinical trials, which directly influence the regulatory approval of newdrug candidates and ultimately affect patient outcomes. Despite theirsignificance, large-scale, high-quality clinical trial outcome data are notreadily available to the public. Suppose a large clinical trial outcome datasetis provided; machine learning researchers can potentially develop accurateprediction models using past trials and outcome labels, which could helpprioritize and optimize therapeutic programs, ultimately benefiting patients.This paper introduces Clinical Trial Outcome (CTO) dataset, the largest trialoutcome dataset with around 479K clinical trials, aggregating outcomes frommultiple sources of weakly supervised labels, minimizing the noise fromindividual sources, and eliminating the need for human annotation. Thesesources include large language model (LLM) decisions on trial-relateddocuments, news headline sentiments, stock prices of trial sponsors, triallinkages across phases, and other signals such as patient dropout rates andadverse events. CTO's labels show unprecedented agreement with supervisedclinical trial outcome labels from test split of the supervised TOP dataset,with a 91 F1.",http://arxiv.org/abs/2406.10292v1,"Chufan Gao,Jathurshan Pradeepkumar,Trisha Das,Shivashankar Thati,Jimeng Sun"
14,Smooth and probabilistic PARAFAC model with auxiliary covariates,"In immunological and clinical studies, matrix-valued time-series dataclustering is increasingly popular. Researchers are interested in findinglow-dimensional embedding of subjects based on potentially high-dimensionallongitudinal features and investigating relationships between static clinicalcovariates and the embedding. These studies are often challenging due to highdimensionality, as well as the sparse and irregular nature of sample collectionalong the time dimension. We propose a smoothed probabilistic PARAFAC modelwith covariates (SPACO) to tackle these two problems while utilizing auxiliarycovariates of interest. We provide intensive simulations to test differentaspects of SPACO and demonstrate its use on an immunological data set frompatients with SARs-CoV-2 infection.",http://arxiv.org/abs/2104.05184v3,Leying Guan
15,Optimal Allocation of Gold Standard Testing under Constrained Availability: Application to Assessment of HIV Treatment Failure,"The World Health Organization (WHO) guidelines for monitoring theeffectiveness of HIV treatment in resource-limited settings (RLS) are mostlybased on clinical and immunological markers (e.g., CD4 cell counts). Recentresearch indicates that the guidelines are inadequate and can result in higherror rates. Viral load (VL) is considered the ""gold standard"", yet itswidespread use is limited by cost and infrastructure. In this paper, we proposea diagnostic algorithm that uses information from routinely-collected clinicaland immunological markers to guide a selective use of VL testing for diagnosingHIV treatment failure, under the assumption that VL testing is available onlyat a certain portion of patient visits. Our algorithm identifies the patientsubpopulation, such that the use of limited VL testing on them minimizes apre-defined risk (e.g., misdiagnosis error rate). Diagnostic properties of ourproposal algorithm are assessed by simulations. For illustration, data from theMiriam Hospital Immunology Clinic (RI, USA) are analyzed.",http://arxiv.org/abs/2010.00692v1,"Tao Liu,Joseph W. Hogan,Lisa Wang,Shangxuan Zhang,Rami Kantor"
16,Exploring the Generalization of Cancer Clinical Trial Eligibility Classifiers Across Diseases,"Clinical trials are pivotal in medical research, and NLP can enhance theirsuccess, with application in recruitment. This study aims to evaluate thegeneralizability of eligibility classification across a broad spectrum ofclinical trials. Starting with phase 3 cancer trials, annotated with seveneligibility exclusions, then to determine how well models can generalize tonon-cancer and non-phase 3 trials. To assess this, we have compiled eligibilitycriteria data for five types of trials: (1) additional phase 3 cancer trials,(2) phase 1 and 2 cancer trials, (3) heart disease trials, (4) type 2 diabetestrials, and (5) observational trials for any disease, comprising 2,490annotated eligibility criteria across seven exclusion types. Our results showthat models trained on the extensive cancer dataset can effectively handlecriteria commonly found in non-cancer trials, such as autoimmune diseases.However, they struggle with criteria disproportionately prevalent in cancertrials, like prior malignancy. We also experiment with few-shot learning,demonstrating that a limited number of disease-specific examples can partiallyovercome this performance gap. We are releasing this new dataset of annotatedeligibility statements to promote the development of cross-diseasegeneralization in clinical trial classification.",http://arxiv.org/abs/2403.17135v1,"Yumeng Yang,Ashley Gilliam,Ethan B Ludmir,Kirk Roberts"
17,TrialSynth: Generation of Synthetic Sequential Clinical Trial Data,"Analyzing data from past clinical trials is part of the ongoing effort tooptimize the design, implementation, and execution of new clinical trials andmore efficiently bring life-saving interventions to market. While there havebeen recent advances in the generation of static context synthetic clinicaltrial data, due to both limited patient availability and constraints imposed bypatient privacy needs, the generation of fine-grained synthetic time-sequentialclinical trial data has been challenging. Given that patient trajectories overan entire clinical trial are of high importance for optimizing trial design andefforts to prevent harmful adverse events, there is a significant need for thegeneration of high-fidelity time-sequence clinical trial data. Here weintroduce TrialSynth, a Variational Autoencoder (VAE) designed to address thespecific challenges of generating synthetic time-sequence clinical trial data.Distinct from related clinical data VAE methods, the core of our methodleverages Hawkes Processes (HP), which are particularly well-suited formodeling event-type and time gap prediction needed to capture the structure ofsequential clinical trial data. Our experiments demonstrate that TrialSynthsurpasses the performance of other comparable methods that can generatesequential clinical trial data at varying levels of fidelity / privacytradeoff, enabling the generation of highly accurate event sequences acrossmultiple real-world sequential event datasets with small patient sourcepopulations. Notably, our empirical findings highlight that TrialSynth not onlyoutperforms existing clinical sequence-generating methods but also producesdata with superior utility while empirically preserving patient privacy.",http://arxiv.org/abs/2409.07089v2,"Chufan Gao,Mandis Beigi,Afrah Shafquat,Jacob Aptekar,Jimeng Sun"
18,Clinical Trial Information Extraction with BERT,Natural language processing (NLP) of clinical trial documents can be usefulin new trial design. Here we identify entity types relevant to clinical trialdesign and propose a framework called CT-BERT for information extraction fromclinical trial text. We trained named entity recognition (NER) models toextract eligibility criteria entities by fine-tuning a set of pre-trained BERTmodels. We then compared the performance of CT-BERT with recent baselinemethods including attention-based BiLSTM and Criteria2Query. The resultsdemonstrate the superiority of CT-BERT in clinical trial NLP.,http://arxiv.org/abs/2110.10027v1,"Xiong Liu,Greg L. Hersch,Iya Khalil,Murthy Devarakonda"
19,CTP-LLM: Clinical Trial Phase Transition Prediction Using Large Language Models,"New medical treatment development requires multiple phases of clinicaltrials. Despite the significant human and financial costs of bringing a drug tomarket, less than 20% of drugs in testing will make it from the first phase tofinal approval. Recent literature indicates that the design of the trialprotocols significantly contributes to trial performance. We investigatedClinical Trial Outcome Prediction (CTOP) using trial design documents topredict phase transitions automatically. We propose CTP-LLM, the first LargeLanguage Model (LLM) based model for CTOP. We also introduce thePhaseTransition (PT) Dataset; which labels trials based on their progressionthrough the regulatory process and serves as a benchmark for CTOP evaluation.Our fine-tuned GPT-3.5-based model (CTP-LLM) predicts clinical trial phasetransition by analyzing the trial's original protocol texts without requiringhuman-selected features. CTP-LLM achieves a 67% accuracy rate in predictingtrial phase transitions across all phases and a 75% accuracy rate specificallyin predicting the transition from Phase~III to final approval. Our experimentalperformance highlights the potential of LLM-powered applications in forecastingclinical trial outcomes and assessing trial design.",http://arxiv.org/abs/2408.10995v1,"Michael Reinisch,Jianfeng He,Chenxi Liao,Sauleh Ahmad Siddiqui,Bei Xiao"
