docid,entityid,type
28,Monoclonal Antibody Trials,Topic
29,Adaptive Immune System,Topic
29,B- And T-Cell Receptors,Topic
29,Human Immune System,Topic
29,Immunoengineers,Topic
29,Quantitative Resolution,Topic
29,Immunotherapy,Topic
29,Autoimmunity,Topic
29,Vaccine Design,Topic
29,Biopharmaceutical Drugs,Topic
29,Immunological Phenomena,Topic
29,Computational Immunology,Topic
29,Alex J. Brown,Author
29,Igor Snapkov,Author
29,Rahmad Akbar,Author
29,Enkelejda Miho,Author
29,Geir K. Sandve,Author
29,Victor Greiff,Author
30,Competing Risks Model,Topic
30,Non-Inferiority Clinical Trials,Topic
30,Parpia Et Al.,Author
30,Proportional Sub-Distribution Hazard Model,Topic
30,Sample Size Formula,Topic
30,Sub-Distribution Hazard Ratio,Topic
30,Weibull Distribution,Topic
30,Dong Han,Author
30,Zheng Chen,Author
30,Yawen Hou,Author
31,Clinical Trial Recommendations Using Semantics-Based Inductive Inference And Knowledge Graph Embeddings,Paper
31,Clinical Trial,Topic
31,Knowledge Graph,Topic
31,Neural Embeddings,Topic
31,Kge Methods,Topic
31,Clinical Trials Data,Topic
31,Clinicaltrials.Gov,Topic
31,Recommendations,Topic
32,Matchminer-Ai,Topic
32,Ethan Cerami,Author
32,Pavel Trukhanov,Author
32,Morgan A. Paul,Author
32,Michael J. Hassett,Author
32,Irbaz B. Riaz,Author
32,James Lindsay,Author
32,Emily Mallaber,Author
32,Harry Klein,Author
32,Gufran Gungor,Author
32,Matthew Galvin,Author
32,Stephen C. Van Nostrand,Author
32,Joyce Yu,Author
32,Tali Mazor,Author
32,Kenneth L. Kehl,Author
33,Clinical Trial Process,Topic
33,Interventional Clinical Trials,Topic
33,Trialdura,Paper
33,Ling Yue,Author
33,Jonathan Li,Author
33,Sixue Xing,Author
33,Md Zabirul Islam,Author
33,Bolun Xia,Author
33,Tianfan Fu,Author
33,Jintai Chen,Author
34,Clinical Trials,Topic
34,Adaptive Clinical Trials,Topic
34,Bayesian Framework,Topic
34,Gastroenteritis Vaccine Trial,Paper
34,James M. Mcgree,Author
34,Antony M. Overstall,Author
34,Mark Jones,Author
34,Robert K. Mahar,Author
35,Trial Level General Surrogate,Topic
35,Bayesian Non-Parametric Modeling,Topic
35,Pentavalent Rotavirus Vaccine,Topic
35,Erin E. Gabriel,Author
35,Michael J. Daniels,Author
35,M. Elizabeth Halloran,Author
36,Spx,Topic
36,Rheumatoid Arthritis Clinical Trial,Topic
36,Daniel E. Schwartz,Author
36,Yuan Ji,Author
36,Li Wang,Author
37,Adversity Index For Clinical Trials: An Inclusive Approach For Analysis Of Safety Data,Paper
37,Sharayu Paranjpe,Author
37,Anil Gore,Author
38,Adaptive Immune System,Topic
38,Classical Nonself-Centered Model,Topic
38,Self-Centered Model,Topic
38,Humoral Immunity,Topic
38,T Cells,Topic
38,B Cells,Topic
38,Antibodies,Topic
38,Interleukins,Topic
38,Non-Immune Self Cells,Topic
38,Foreign Antigens,Topic
38,Mistimm,Paper
38,Tam·s Szabados,Author
38,Csaba Kerepesi,Author
38,Tibor Bak·cs,Author
39,Relational Dynamics In Perception: Impacts On Trial-To-Trial Variation,Paper
40,Pytrial,Topic
40,Clinical Trials,Topic
40,Machine Learning,Topic
40,Zifeng Wang,Author
40,Brandon Theodorou,Author
40,Tianfan Fu,Author
40,Cao Xiao,Author
40,Jimeng Sun,Author
41,Artificial Intelligence,Topic
41,Deep Learning,Topic
41,Predictive Modelling,Topic
41,Natural Language Processing,Topic
41,Sydney Anuyah,Author
41,Mallika K Singh,Author
41,Hope Nyavor,Author
42,Clinical Trials,Topic
42,Artificial Intelligence,Topic
42,Ai-Ready Datasets,Topic
42,Trial Duration Prediction,Topic
42,Patient Dropout Rate Prediction,Topic
42,Serious Adverse Event Prediction,Topic
42,Mortality Rate Prediction,Topic
42,Trial Approval Outcome Prediction,Topic
42,Trial Failure Reason Prediction,Topic
42,Drug Dose Finding Prediction,Topic
42,Eligibility Criteria Design Prediction,Topic
42,Jintai Chen,Author
42,Yaojun Hu,Author
42,Yue Wang,Author
42,Yingzhou Lu,Author
42,Xu Cao,Author
42,Miao Lin,Author
42,Hongxia Xu,Author
42,Jian Wu,Author
42,Cao Xiao,Author
42,Jimeng Sun,Author
42,Lucas Glass,Author
42,Kexin Huang,Author
42,Marinka Zitnik,Author
42,Tianfan Fu,Author
42,Trialbench,Paper
43,Clinical Trials,Topic
43,Drug Development,Topic
43,Eligibility Criteria,Topic
43,Autotrial,Paper
44,Clinical Trials,Topic
44,Oncology,Topic
44,Drug Development,Topic
44,Large Language Models,Topic
44,Gpt-3.5,Author
44,Gpt-4,Author
44,Hint,Author
44,Shuyi Jin,Author
44,Lu Chen,Author
44,Hongru Ding,Author
44,Meijie Wang,Author
44,Lun Yu,Author
44,Clinicaltrials.Gov,Topic
44,Matthews Correlation Coefficient,Topic
44,Neoplasms,Topic
44,Predictive Tools,Topic
44,Trial Duration,Topic
44,Disease Categories,Topic
45,Motor-Evoked Potentials (Meps),Topic
45,Triple-Variability-Source Model,Topic
45,Logarithmic Logistic Function,Topic
45,Ke Ma,Author
45,Siwei Liu,Author
45,Mengjie Qin,Author
45,Stefan Goetz,Author
45,Bayesian Information Criterion,Topic
45,Cortical Excitability,Topic
45,Neuromodulation Effects,Topic
45,Input-Output (Io) Curves,Topic
45,Background Noise,Topic
45,Physiological Variability,Topic
45,Neural Recruitment Curve,Topic
45,Clinical And Experimental Neuroscience,Topic
46,Clinical Trial Result Prediction,Topic
46,Evidence-Based Medicine,Topic
46,Pico,Topic
46,Evidence Integration Dataset,Topic
46,Biobert,Topic
46,Covid-19 Clinical Trials,Topic
46,Qiao Jin,Author
46,Chuanqi Tan,Author
46,Mosha Chen,Author
46,Xiaozhong Liu,Author
46,Songfang Huang,Author
47,Leaf Clinical Trials Corpus,Topic
47,Nicholas J Dobbins,Author
47,Tony Mullen,Author
47,Ozlem Uzuner,Author
47,Meliha Yetisgen,Author
48,Clinical Trials,Topic
48,Drug Discovery Process,Topic
48,Clinical Model Development,Topic
48,Protocol Design,Topic
48,Quantum Computing,Topic
48,Clinical Trial Simulations,Topic
48,Site Selection,Topic
48,Cohort Identification,Topic
48,Hakan Doga,Author
48,M. Emre Sahin,Author
48,Joao Bettencourt-Silva,Author
48,Anh Pham,Author
48,Eunyoung Kim,Author
48,Alan Andress,Author
48,Sudhir Saxena,Author
48,Aritra Bose,Author
48,Laxmi Parida,Author
48,Jan Lukas Robertus,Author
48,Hideaki Kawaguchi,Author
48,Radwa Soliman,Author
48,Daniel Blankenberg,Author
48,Towards Quantum Computing For Clinical Trial Design And Optimization: A Perspective On New Opportunities And Challenges,Paper
49,Adaptive Cohort Size Determination Method For Bayesian Optimal Interval Phase I/Ii Design To Shorten Clinical Trial Duration,Paper
49,Masahiro Kojima,Author
49,Dose Optimization In Oncology,Topic
50,Large Language Models,Topic
50,Multi-Agent Systems,Topic
50,Clinical Agent System,Topic
50,Gpt-4,Topic
50,Least-To-Most,Topic
50,React Reasoning Technology,Topic
50,Clinical Trial Outcome Prediction,Topic
50,Ling Yue,Author
50,Sixue Xing,Author
50,Jintai Chen,Author
50,Tianfan Fu,Author
50,Clinicalagent,Paper
51,Predictive Directions For Individualized Treatment Selection In Clinical Trials,Paper
51,Debashis Ghosh,Author
51,Youngjoo Cho,Author
51,Clinical Trials,Topic
51,Colorectal Cancer,Topic
52,Clinical Trials Ontology Engineering With Large Language Models,Paper
52,Clinical Trial Information Management,Topic
52,Large Language Models,Topic
53,Conditional Approval,Topic
53,Harmonic Mean Chi-Squared Test,Topic
53,Post-Market Clinical Trial,Topic
53,Two-Trials Rule,Topic
53,Fisher'S Criterion,Topic
53,Stouffer'S Method,Topic
53,Manja Deforth,Author
53,Charlotte Micheloud,Author
53,Kit C Roes,Author
53,Leonhard Held,Author
53,Simulation Study,Topic
54,Medical Digital Twins,Topic
54,Immune System,Topic
54,February 2023 Meeting,Topic
54,Reinhard Laubenbacher,Author
54,Fred Adler,Author
54,Gary An,Author
54,Filippo Castiglione,Author
54,Stephen Eubank,Author
54,Luis L. Fonseca,Author
54,James Glazier,Author
54,Tomas Helikar,Author
54,Marti Jett-Tilton,Author
54,Denise Kirschner,Author
54,Paul Macklin,Author
54,Borna Mehrad,Author
54,Beth Moore,Author
54,Virginia Pasour,Author
54,Ilya Shmulevich,Author
54,Amber Smith,Author
54,Isabel Voigt,Author
54,Thomas E. Yankeelov,Author
54,Tjalf Ziemssen,Author
55,Machine Learning,Topic
55,Healthcare,Topic
55,Fairness In Machine Learning,Topic
55,Clinical Trials,Topic
55,Isabel Chien,Author
55,Nina Deliu,Author
55,Richard E. Turner,Author
55,Adrian Weller,Author
55,Sofia S. Villar,Author
55,Niki Kilbertus,Author
56,Clinical Trials,Topic
56,Medical Device Validation,Topic
56,Model-Based Pre-Clinical Trial Framework,Paper
56,Statistical Model Checking,Topic
56,Physiological Models,Topic
56,Implantable Cardioverter Defibrillators,Topic
57,Drug Development,Topic
57,Phase Ii / Iii Cancer Clinical Trials,Topic
57,Seamless Clinical Trials,Topic
57,Master Protocols,Topic
57,Abigail Burdon,Author
57,Thomas Jaki,Author
57,Xijin Chen,Author
57,Pavel Mozgunov,Author
57,Haiyan Zheng,Author
57,Richard Baird,Author
58,Hint,Topic
58,Clinical Trials,Topic
58,Tianfan Fu,Author
58,Kexin Huang,Author
58,Cao Xiao,Author
58,Lucas M. Glass,Author
58,Jimeng Sun,Author
59,Text Classification Of Cancer Clinical Trial Eligibility Criteria,Paper
59,Cancer Trials,Topic
60,Clinical Trial Active Learning,Paper
60,Zoe Fowler,Author
60,Kiran Kokilepersaud,Author
60,Mohit Prabhushankar,Author
60,Ghassan Alregib,Author
60,Active Learning,Topic
60,Clinical Trials,Topic
60,Optical Coherence Tomography,Topic
60,Prospective Active Learning,Topic
60,Retrospective Active Learning,Topic
61,Accept,Topic
61,Clinical Trials,Topic
61,Michelle N. Clements,Author
61,Ian R. White,Author
61,Andrew J. Copas,Author
61,Victoria Cornelius,Author
61,Suzie Cro,Author
61,David T Dunn,Author
61,Matteo Quartagno,Author
61,Rebecca M. Turner,Author
61,Conor D. Tweed,Author
61,A. Sarah Walker,Author
62,Statistical Methods For Clinical Trial Design,Topic
62,Adequately Powered Study,Topic
62,Statistical Significance,Topic
62,Clinical Interpretability,Topic
62,Calibrate Randomised Trial Designs,Topic
62,Strong Clinical Equipoise Imbalance,Topic
62,Least Informed Population Distribution,Topic
62,Pre-Trial Odds Of The Design Hypotheses,Topic
62,Primary Analysis Outcomes,Topic
62,Phase 3 Superiority Designs,Topic
62,95% Power At 5% False Positive Rate,Topic
62,Robustly Powered Study,Topic
62,Clinical Development Plans,Topic
62,Randomised Phase 2 And Phase 3 Studies,Topic
62,Oncology Clinical Endpoints,Topic
62,Positive Outcomes,Topic
62,Negative Primary Outcome,Topic
62,Large Sample Sizes,Topic
62,Clinically Meaningful Effect Sizes,Topic
62,Equipoise Calibration,Topic
62,Fabio Rigat,Author
63,Clinical Trials With A Hybrid Control Arm,Topic
63,Joanna Harton,Author
63,Brian Segal,Author
63,Ronac Mamtani,Author
63,Nandita Mitra,Author
63,Rebecca Hubbard,Author
63,Combining Real-World And Randomized Control Trial Data Using Data-Adaptive Weighting Via The On-Trial Score,Paper
64,Clinical Trial,Topic
64,Clinidigest,Topic
64,Renee D. White,Author
64,Tristan Peng,Author
64,Pann Sripitak,Author
64,Alexander Rosenberg Johansen,Author
64,Michael Snyder,Author
65,Clinical Trial Matching,Topic
65,Large Language Models,Topic
65,Oncollm,Topic
65,Shashi Kant Gupta,Author
65,Aditya Basu,Author
65,Mauro Nievas,Author
65,Jerrin Thomas,Author
65,Nathan Wolfrath,Author
65,Adhitya Ramamurthi,Author
65,Bradley Taylor,Author
65,Anai N. Kothari,Author
65,Regina Schwind,Author
65,Therica M. Miller,Author
65,Sorena Nadaf-Rahrov,Author
65,Yanshan Wang,Author
65,Hrituraj Singh,Author
65,Real-World Ehrs,Topic
65,Clinical Notes,Topic
65,Clinical Trials,Topic
65,Cancer Center In The United States,Topic
66,Clinical Trials,Topic
66,Medical Research,Topic
66,New Treatments,Topic
66,Virtual Clinical Trials,Topic
66,Patient Safety,Topic
66,Cost Reduction,Topic
66,Scientific Knowledge,Topic
66,Electronic Health Records,Topic
66,Clinical Trial Outcome Prediction,Topic
66,Large Language Models,Topic
66,Twin-Gpt,Paper
67,Covid-19 Epidemiological Models,Topic
67,Immune Response Model,Paper
67,Immunological Assay,Topic
67,Sars-Cov-2 Vaccines,Topic
68,Phase Iii Randomized Clinical Trials,Topic
68,New Medical Products,Topic
68,Statistical Principles,Topic
68,Statistical Hypothesis Testing,Topic
68,Frequentist Paradigm,Topic
68,Bayesian Perspectives,Topic
68,Effect Sizes,Topic
68,Clinicaltrials.Gov,Topic
68,Changyu Shen,Author
68,Xiaochun Li,Author
68,Towards More Flexible False Positive Control In Phase Iii Randomized Clinical Trials,Paper
69,A Machine Learning Approach For Recruitment Prediction In Clinical Trial Design,Paper
70,Multi-Arm Clinical Trials,Topic
70,Michael J Grayling,Author
70,James Ms Wason,Author
70,Web Application For Sample Size Calculation,Paper
71,Bevacizumab Colorectal Cancer Treatment Trials,Topic
71,Qian Li,Author
71,Zhe He,Author
71,Yi Guo,Author
71,Hansi Zhang,Author
71,Thomas J George Jr,Author
71,William Hogan,Author
71,Neil Charness,Author
71,Jiang Bian,Author
71,Cptg Scores,Topic
71,Serious Adverse Events,Topic
71,Oneflorida Consortium,Topic
71,Zero-Inflated Negative Binomial Model,Topic
71,Patient-Level Data,Topic
71,Electronic Health Records,Topic
71,Real-World Clinical Practice,Topic
71,Clinical Outcomes,Topic
71,Patient-Trial Generalizability,Topic
72,Bayesian Sequential Clinical Trial Designs,Paper
72,Tianjian Zhou,Author
72,Yuan Ji,Author
73,"Multi-Arm, Multi-Stage (Mams) Clinical Trial Designs",Topic
73,Adaptive Designs (Ad),Topic
73,Multi-Arm (Ma) Designs,Topic
73,Factorial Clinical Trials Designs,Topic
73,Factorial Adaptive Multi-Arm Multi-Stage (Fast) Designs,Topic
73,Jonathan Beall,Author
73,Jordan Elm,Author
73,Mathew W Semler,Author
73,Li Wang,Author
73,Todd Rice,Author
73,Hooman Kamel,Author
73,William Mack,Author
73,Akshitkumar M. Mistry,Author
74,Monitoring Fidelity Of Online Reinforcement Learning Algorithms In Clinical Trials,Paper
74,Anna L. Trella,Author
74,Kelly W. Zhang,Author
74,Inbal Nahum-Shani,Author
74,Vivek Shetty,Author
74,Iris Yan,Author
74,Finale Doshi-Velez,Author
74,Susan A. Murphy,Author
74,Oralytics Clinical Trial,Topic
75,Augmented Binary Method For Basket Trials (Abba),Topic
75,Svetlana Cherlin,Author
75,James M S Wason,Author
75,Clinical Trials,Topic
75,Bayesian Hierarchical Modelling,Topic
75,Rheumatology,Topic
75,Basket Trials,Topic
75,Treatment Effect,Topic
75,Subtrials,Topic
75,Log Odds Ratio,Topic
75,High Density Interval,Topic
76,On An Approach To Bayesian Sample Sizing In Clinical Trials,Paper
76,Robb J. Muirhead,Author
76,Adina I. Soaita,Author
76,Bayesian Sample Size Determination,Topic
76,Clinical Trials,Topic
76,Posterior Probability,Topic
76,Marginal Distribution Of The Data,Topic
76,Superiority Of A New Drug Over A Control,Topic
77,Assurance For Clinical Trial Design With Normally Distributed Outcomes: Eliciting Uncertainty About Variances,Paper
77,Ziyad A. Alhussain,Author
77,Jeremy E. Oakley,Author
77,Clinical Trial Planning,Topic
77,Elicitation Method,Topic
78,Clinical Trials,Topic
78,Deep Learning Frameworks,Topic
78,Fair Patient-Trial Matching Framework,Topic
78,Chia-Yuan Chang,Author
78,Jiayi Yuan,Author
78,Sirui Ding,Author
78,Qiaoyu Tan,Author
78,Kai Zhang,Author
78,Xiaoqian Jiang,Author
78,Xia Hu,Author
78,Na Zou,Author
79,Clinical Trials,Topic
79,Part 11 Of Title 21 Of The Code Of Federal Regulations,Topic
79,Iso 27789,Topic
79,Context-Aware Smart Devices,Topic
79,Wearable Iot Devices,Topic
79,Electronic Data Capture (Edc),Topic
79,Clinical Data Management Systems (Cdms),Topic
79,Healthcare Digital Threat Landscape,Topic
79,Sensor Fusion,Topic
79,Scrybe,Paper
80,Local Explanations For Clinical Search Engine Results,Paper
81,Clinical Trials,Topic
81,Evidence-Based Medicine,Topic
81,Meta-Analyses,Topic
81,Clinical Practice Guidelines,Topic
81,Data Science,Topic
81,Big Data,Topic
81,Visual Analytics,Topic
81,Trial Registries,Topic
81,Platform For Analyzing Safety Events,Paper
81,Ontological Model,Topic
81,Adverse Drug Events (Ade),Topic
81,Pain Treatments,Topic
81,Flower Glyph,Topic
81,Drug Safety Experts,Author
82,Phase-3 Clinical Trials,Topic
82,Trend-Adaptive Design With A Synthetic-Intervention-Based Estimator,Topic
82,Secrets,Topic
82,Sayeri Lala,Author
82,Niraj K. Jha,Author
82,Tad,Topic
83,Biomarker Clustering Of Colorectal Cancer Data To Complement Clinical Classification,Paper
83,Chris Roadknight,Author
83,Uwe Aickelin,Author
83,Alex Ladas,Author
83,Daniele Soria,Author
83,John Scholefield,Author
83,Lindy Durrant,Author
84,Basket Trials,Topic
84,Baskexact,Paper
84,R Package,Topic
84,Empirical Bayes Techniques,Topic
84,Single-Stage Designs,Topic
84,Two-Stage Designs,Topic
85,Improving Patient Pre-Screening For Clinical Trials: Assisting Physicians With Large Language Models,Paper
85,Instructgpt,Topic
85,Large Language Models,Topic
85,Clinical Trials,Topic
85,Physicians,Topic
86,Virtual Clinical Trial,Topic
86,Tobias K. S. Ritschel,Author
86,Asbj¯rn Thode Reenberg,Author
86,John Bagterp J¯rgensen,Author
87,Confirmatory Clinical Trials,Topic
87,Experimental Treatments,Topic
87,Control,Topic
87,Standard Of Care,Topic
87,Placebo,Topic
87,Randomised Controlled Trials,Topic
87,Hypothesis Testing Methods,Topic
87,Error Rate,Topic
87,Power,Topic
87,Bonferroni Adjustment,Topic
87,Multi-Stage Adaptive Trials,Topic
87,Clinical Trials Setting,Topic
87,Thomas Burnett,Author
87,Thomas Jaki,Author
88,Inspire Project,Topic
88,T. Friede,Author
88,M. Posch,Author
88,S. Zohar,Author
88,C. Alberti,Author
88,N. Benda,Author
88,E. Comets,Author
88,S. Day,Author
88,A. Dmitrenko,Author
88,A. Graf,Author
88,B. K. G¸nhan,Author
88,S. W. Hee,Author
88,F. Lentz,Author
88,J. Madan,Author
88,F. Miller,Author
