docid,title,summary,url,authors
10,"Panacea: A foundation model for clinical trial search, summarization, design, and recruitment","Clinical trials are fundamental in developing new drugs, medical devices, and
treatments. However, they are often time-consuming and have low success rates.
Although there have been initial attempts to create large language models
(LLMs) for clinical trial design and patient-trial matching, these models
remain task-specific and not adaptable to diverse clinical trial tasks. To
address this challenge, we propose a clinical trial foundation model named
Panacea, designed to handle multiple tasks, including trial search, trial
summarization, trial design, and patient-trial matching. We also assemble a
large-scale dataset, named TrialAlign, of 793,279 trial documents and 1,113,207
trial-related scientific papers, to infuse clinical knowledge into the model by
pre-training. We further curate TrialInstruct, which has 200,866 of instruction
data for fine-tuning. These resources enable Panacea to be widely applicable
for a range of clinical trial tasks based on user requirements.
  We evaluated Panacea on a new benchmark, named TrialPanorama, which covers
eight clinical trial tasks. Our method performed the best on seven of the eight
tasks compared to six cutting-edge generic or medicine-specific LLMs.
Specifically, Panacea showed great potential to collaborate with human experts
in crafting the design of eligibility criteria, study arms, and outcome
measures, in multi-round conversations. In addition, Panacea achieved 14.42%
improvement in patient-trial matching, 41.78% to 52.02% improvement in trial
search, and consistently ranked at the top for five aspects of trial
summarization. Our approach demonstrates the effectiveness of Panacea in
clinical trials and establishes a comprehensive resource, including training
data, model, and benchmark, for developing clinical trial foundation models,
paving the path for AI-based clinical trial development.",http://arxiv.org/abs/2407.11007v1,"Jiacheng Lin, Hanwen Xu, Zifeng Wang, Sheng Wang, Jimeng Sun"
11,Assessment of Immune Correlates of Protection via Controlled Vaccine Efficacy and Controlled Risk,"Immune correlates of protection (CoPs) are immunologic biomarkers accepted as
a surrogate for an infectious disease clinical endpoint and thus can be used
for traditional or provisional vaccine approval. To study CoPs in randomized,
placebo-controlled trials, correlates of risk (CoRs) are first assessed in
vaccine recipients. This analysis does not assess causation, as a CoR may fail
to be a CoP. We propose a causal CoP analysis that estimates the controlled
vaccine efficacy curve across biomarker levels $s$, $CVE(s)$, equal to one
minus the ratio of the controlled-risk curve $r_C(s)$ at $s$ and placebo risk,
where $r_C(s)$ is causal risk if all participants are assigned vaccine and the
biomarker is set to $s$. The criterion for a useful CoP is wide variability of
$CVE(s)$ in $s$. Moreover, estimation of $r_C(s)$ is of interest in itself,
especially in studies without a placebo arm. For estimation of $r_C(s)$,
measured confounders can be adjusted for by any regression method that
accommodates missing biomarkers, to which we add sensitivity analysis to
quantify robustness of CoP evidence to unmeasured confounding. Application to
two harmonized phase 3 trials supports that 50% neutralizing antibody titer has
value as a controlled vaccine efficacy CoP for virologically confirmed dengue
(VCD): in CYD14 the point estimate (95% confidence interval) for $CVE(s)$
accounting for measured confounders and building in conservative margin for
unmeasured confounding increases from 29.6% (95% CI 3.5 to 45.9) at titer 1:36
to 78.5% (95% CI 67.9 to 86.8) at titer 1:1200; these estimates are 17.4% (95%
CI -14.4 to 36.5) and 84.5% (95% CI 79.6 to 89.1) for CYD15.",http://arxiv.org/abs/2107.05734v1,"Peter B Gilbert, Youyi Fong, Marco Carone"
12,Rank-Based Identification of High-dimensional Surrogate Markers: Application to Vaccinology,"In vaccine trials with long-term participant follow-up, it is of great
importance to identify surrogate markers that accurately infer long-term immune
responses. These markers offer practical advantages such as providing early,
indirect evidence of vaccine efficacy, and can accelerate vaccine development
while identifying potential biomarkers. High-throughput technologies like
RNA-sequencing have emerged as promising tools for understanding complex
biological systems and informing new treatment strategies. However, these data
are high-dimensional, presenting unique statistical challenges for existing
surrogate marker identification methods. We introduce Rank-based Identification
of high-dimensional SurrogatE Markers (RISE), a novel approach designed for
small sample, high-dimensional settings typical in modern vaccine experiments.
RISE employs a non-parametric univariate test to screen variables for promising
candidates, followed by surrogate evaluation on independent data. Our
simulation studies demonstrate RISE's desirable properties, including type one
error rate control and empirical power under various conditions. Applying RISE
to a clinical trial for inactivated influenza vaccination, we sought to
identify genes whose post-vaccination expression could serve as a surrogate for
the induced immune response. This analysis revealed a signature of genes whose
combined expression at 1 day post-injection appears to be a reasonable
surrogate for the neutralising antibody titres at 28 days after vaccination.
Pathways related to innate antiviral signalling and interferon stimulation were
strongly represented in this derived surrogate, providing a clear immunological
interpretation.",http://arxiv.org/abs/2502.03030v1,"Arthur Hughes, Layla Parast, Rodolphe Thibaut, Boris P Hejblum"
13,Trial2Vec: Zero-Shot Clinical Trial Document Similarity Search using Self-Supervision,"Clinical trials are essential for drug development but are extremely
expensive and time-consuming to conduct. It is beneficial to study similar
historical trials when designing a clinical trial. However, lengthy trial
documents and lack of labeled data make trial similarity search difficult. We
propose a zero-shot clinical trial retrieval method, Trial2Vec, which learns
through self-supervision without annotating similar clinical trials.
Specifically, the meta-structure of trial documents (e.g., title, eligibility
criteria, target disease) along with clinical knowledge (e.g., UMLS knowledge
base https://www.nlm.nih.gov/research/umls/index.html) are leveraged to
automatically generate contrastive samples. Besides, Trial2Vec encodes trial
documents considering meta-structure thus producing compact embeddings
aggregating multi-aspect information from the whole document. We show that our
method yields medically interpretable embeddings by visualization and it gets a
15% average improvement over the best baselines on precision/recall for trial
retrieval, which is evaluated on our labeled 1600 trial pairs. In addition, we
prove the pre-trained embeddings benefit the downstream trial outcome
prediction task over 240k trials. Software ias available at
https://github.com/RyanWangZf/Trial2Vec.",http://arxiv.org/abs/2206.14719v2,"Zifeng Wang, Jimeng Sun"
14,SPOT: Sequential Predictive Modeling of Clinical Trial Outcome with Meta-Learning,"Clinical trials are essential to drug development but time-consuming, costly,
and prone to failure. Accurate trial outcome prediction based on historical
trial data promises better trial investment decisions and more trial success.
Existing trial outcome prediction models were not designed to model the
relations among similar trials, capture the progression of features and designs
of similar trials, or address the skewness of trial data which causes inferior
performance for less common trials.
  To fill the gap and provide accurate trial outcome prediction, we propose
Sequential Predictive mOdeling of clinical Trial outcome (SPOT) that first
identifies trial topics to cluster the multi-sourced trial data into relevant
trial topics. It then generates trial embeddings and organizes them by topic
and time to create clinical trial sequences. With the consideration of each
trial sequence as a task, it uses a meta-learning strategy to achieve a point
where the model can rapidly adapt to new tasks with minimal updates. In
particular, the topic discovery module enables a deeper understanding of the
underlying structure of the data, while sequential learning captures the
evolution of trial designs and outcomes. This results in predictions that are
not only more accurate but also more interpretable, taking into account the
temporal patterns and unique characteristics of each trial topic. We
demonstrate that SPOT wins over the prior methods by a significant margin on
trial outcome benchmark data: with a 21.5\% lift on phase I, an 8.9\% lift on
phase II, and a 5.5\% lift on phase III trials in the metric of the area under
precision-recall curve (PR-AUC).",http://arxiv.org/abs/2304.05352v1,"Zifeng Wang, Cao Xiao, Jimeng Sun"
15,Smooth and probabilistic PARAFAC model with auxiliary covariates,"In immunological and clinical studies, matrix-valued time-series data
clustering is increasingly popular. Researchers are interested in finding
low-dimensional embedding of subjects based on potentially high-dimensional
longitudinal features and investigating relationships between static clinical
covariates and the embedding. These studies are often challenging due to high
dimensionality, as well as the sparse and irregular nature of sample collection
along the time dimension. We propose a smoothed probabilistic PARAFAC model
with covariates (SPACO) to tackle these two problems while utilizing auxiliary
covariates of interest. We provide intensive simulations to test different
aspects of SPACO and demonstrate its use on an immunological data set from
patients with SARs-CoV-2 infection.",http://arxiv.org/abs/2104.05184v3,Leying Guan
16,Optimal Allocation of Gold Standard Testing under Constrained Availability: Application to Assessment of HIV Treatment Failure,"The World Health Organization (WHO) guidelines for monitoring the
effectiveness of HIV treatment in resource-limited settings (RLS) are mostly
based on clinical and immunological markers (e.g., CD4 cell counts). Recent
research indicates that the guidelines are inadequate and can result in high
error rates. Viral load (VL) is considered the ""gold standard"", yet its
widespread use is limited by cost and infrastructure. In this paper, we propose
a diagnostic algorithm that uses information from routinely-collected clinical
and immunological markers to guide a selective use of VL testing for diagnosing
HIV treatment failure, under the assumption that VL testing is available only
at a certain portion of patient visits. Our algorithm identifies the patient
subpopulation, such that the use of limited VL testing on them minimizes a
pre-defined risk (e.g., misdiagnosis error rate). Diagnostic properties of our
proposal algorithm are assessed by simulations. For illustration, data from the
Miriam Hospital Immunology Clinic (RI, USA) are analyzed.",http://arxiv.org/abs/2010.00692v1,"Tao Liu, Joseph W Hogan, Lisa Wang, Shangxuan Zhang, Rami Kantor"
17,Exploring the Generalization of Cancer Clinical Trial Eligibility Classifiers Across Diseases,"Clinical trials are pivotal in medical research, and NLP can enhance their
success, with application in recruitment. This study aims to evaluate the
generalizability of eligibility classification across a broad spectrum of
clinical trials. Starting with phase 3 cancer trials, annotated with seven
eligibility exclusions, then to determine how well models can generalize to
non-cancer and non-phase 3 trials. To assess this, we have compiled eligibility
criteria data for five types of trials: (1) additional phase 3 cancer trials,
(2) phase 1 and 2 cancer trials, (3) heart disease trials, (4) type 2 diabetes
trials, and (5) observational trials for any disease, comprising 2,490
annotated eligibility criteria across seven exclusion types. Our results show
that models trained on the extensive cancer dataset can effectively handle
criteria commonly found in non-cancer trials, such as autoimmune diseases.
However, they struggle with criteria disproportionately prevalent in cancer
trials, like prior malignancy. We also experiment with few-shot learning,
demonstrating that a limited number of disease-specific examples can partially
overcome this performance gap. We are releasing this new dataset of annotated
eligibility statements to promote the development of cross-disease
generalization in clinical trial classification.",http://arxiv.org/abs/2403.17135v1,"Yumeng Yang, Ashley Gilliam, Ethan B Ludmir, Kirk Roberts"
18,TrialSynth: Generation of Synthetic Sequential Clinical Trial Data,"Analyzing data from past clinical trials is part of the ongoing effort to
optimize the design, implementation, and execution of new clinical trials and
more efficiently bring life-saving interventions to market. While there have
been recent advances in the generation of static context synthetic clinical
trial data, due to both limited patient availability and constraints imposed by
patient privacy needs, the generation of fine-grained synthetic time-sequential
clinical trial data has been challenging. Given that patient trajectories over
an entire clinical trial are of high importance for optimizing trial design and
efforts to prevent harmful adverse events, there is a significant need for the
generation of high-fidelity time-sequence clinical trial data. Here we
introduce TrialSynth, a Variational Autoencoder (VAE) designed to address the
specific challenges of generating synthetic time-sequence clinical trial data.
Distinct from related clinical data VAE methods, the core of our method
leverages Hawkes Processes (HP), which are particularly well-suited for
modeling event-type and time gap prediction needed to capture the structure of
sequential clinical trial data. Our experiments demonstrate that TrialSynth
surpasses the performance of other comparable methods that can generate
sequential clinical trial data at varying levels of fidelity / privacy
tradeoff, enabling the generation of highly accurate event sequences across
multiple real-world sequential event datasets with small patient source
populations. Notably, our empirical findings highlight that TrialSynth not only
outperforms existing clinical sequence-generating methods but also produces
data with superior utility while empirically preserving patient privacy.",http://arxiv.org/abs/2409.07089v2,"Chufan Gao, Mandis Beigi, Afrah Shafquat, Jacob Aptekar, Jimeng Sun"
19,Clinical Trial Information Extraction with BERT,"Natural language processing (NLP) of clinical trial documents can be useful
in new trial design. Here we identify entity types relevant to clinical trial
design and propose a framework called CT-BERT for information extraction from
clinical trial text. We trained named entity recognition (NER) models to
extract eligibility criteria entities by fine-tuning a set of pre-trained BERT
models. We then compared the performance of CT-BERT with recent baseline
methods including attention-based BiLSTM and Criteria2Query. The results
demonstrate the superiority of CT-BERT in clinical trial NLP.",http://arxiv.org/abs/2110.10027v1,"Xiong Liu, Greg L Hersch, Iya Khalil, Murthy Devarakonda"
20,CTP-LLM: Clinical Trial Phase Transition Prediction Using Large Language Models,"New medical treatment development requires multiple phases of clinical
trials. Despite the significant human and financial costs of bringing a drug to
market, less than 20% of drugs in testing will make it from the first phase to
final approval. Recent literature indicates that the design of the trial
protocols significantly contributes to trial performance. We investigated
Clinical Trial Outcome Prediction (CTOP) using trial design documents to
predict phase transitions automatically. We propose CTP-LLM, the first Large
Language Model (LLM) based model for CTOP. We also introduce the
PhaseTransition (PT) Dataset; which labels trials based on their progression
through the regulatory process and serves as a benchmark for CTOP evaluation.
Our fine-tuned GPT-3.5-based model (CTP-LLM) predicts clinical trial phase
transition by analyzing the trial's original protocol texts without requiring
human-selected features. CTP-LLM achieves a 67% accuracy rate in predicting
trial phase transitions across all phases and a 75% accuracy rate specifically
in predicting the transition from Phase~III to final approval. Our experimental
performance highlights the potential of LLM-powered applications in forecasting
clinical trial outcomes and assessing trial design.",http://arxiv.org/abs/2408.10995v1,"Michael Reinisch, Jianfeng He, Chenxi Liao, Sauleh Ahmad Siddiqui, Bei Xiao"
21,Automatically Labeling Clinical Trial Outcomes: A Large-Scale Benchmark for Drug Development,"Background The cost of drug discovery and development is substantial, with
clinical trial outcomes playing a critical role in regulatory approval and
patient care. However, access to large-scale, high-quality clinical trial
outcome data remains limited, hindering advancements in predictive modeling and
evidence-based decision-making.
  Methods We present the Clinical Trial Outcome (CTO) benchmark, a fully
reproducible, large-scale repository encompassing approximately 125,000 drug
and biologics trials. CTO integrates large language model (LLM) interpretations
of publications, trial phase progression tracking, sentiment analysis from news
sources, stock price movements of trial sponsors, and additional trial-related
metrics. Furthermore, we manually annotated a dataset of clinical trials
conducted between 2020 and 2024 to enhance the quality and reliability of
outcome labels.
  Results The trial outcome labels in the CTO benchmark agree strongly with
expert annotations, achieving an F1 score of 94 for Phase 3 trials and 91
across all phases. Additionally, benchmarking standard machine learning models
on our manually annotated dataset revealed distribution shifts in recent
trials, underscoring the necessity of continuously updated labeling approaches.
  Conclusions By analyzing CTO's performance on recent clinical trials, we
demonstrate the ongoing need for high-quality, up-to-date trial outcome labels.
We publicly release the CTO knowledge base and annotated labels at
https://chufangao.github.io/CTOD, with regular updates to support research on
clinical trial outcomes and inform data-driven improvements in drug
development.",http://arxiv.org/abs/2406.10292v3,"Chufan Gao, Jathurshan Pradeepkumar, Trisha Das, Shivashankar Thati, Jimeng Sun"
22,Retrieval-Reasoning Large Language Model-based Synthetic Clinical Trial Generation,"Machine learning (ML) exhibits promise in the clinical domain. However, it is
constrained by data scarcity and ethical considerations, as the generation of
clinical trials presents significant challenges due to stringent privacy
regulations, high costs, and the extended duration required for conducting
studies with human participants. Despite the advancements of large language
models (LLMs) in general generation tasks, their potential in facilitating the
generation of synthetic clinical trials is under-explored. To address this gap,
we introduce a novel Retrieval-Reasoning few-shot framework that leverages LLMs
to generate artificial yet realistic and diverse clinical trials with binary
success/failure labels. Experiments conducted on real clinical trials from the
\url{ClinicalTrials.gov} database demonstrate that our synthetic data can
effectively augment real datasets. Furthermore, by fine-tuning a pre-trained
model as a binary classifier on synthetic clinical trial datasets, we
demonstrate that this augmentation enhances model training for downstream tasks
such as trial outcome prediction. Our findings suggest that LLMs for synthetic
clinical trial generation hold promise for accelerating clinical research and
upholding ethical standards for patient privacy. The code is publicly available
at
https://anonymous.4open.science/r/Retrieval_Reasoning_Clinical_Trial_Generation-3EC4.",http://arxiv.org/abs/2410.12476v2,"Zerui Xu, Fang Wu, Yuanyuan Zhang, Yue Zhao"
23,From Bench to Bedside: A Review of Clinical Trials in Drug Discovery and Development,"Clinical trials are an indispensable part of the drug development process,
bridging the gap between basic research and clinical application. During the
development of new drugs, clinical trials are used not only to evaluate the
safety and efficacy of the drug but also to explore its dosage, treatment
regimens, and potential side effects. This review discusses the various stages
of clinical trials, including Phase I (safety assessment), Phase II
(preliminary efficacy evaluation), Phase III (large-scale validation), and
Phase IV (post-marketing surveillance), highlighting the characteristics of
each phase and their interrelationships. Additionally, the paper addresses the
major challenges encountered in clinical trials, such as ethical issues,
subject recruitment difficulties, diversity and representativeness concerns,
and proposes strategies for overcoming these challenges. With the advancement
of technology, innovative technologies such as artificial intelligence, big
data, and digitalization are gradually transforming clinical trial design and
implementation, improving trial efficiency and data quality. The article also
looks forward to the future of clinical trials, particularly the impact of
emerging therapies such as gene therapy and immunotherapy on trial design, as
well as the importance of regulatory reforms and global collaboration. In
conclusion, the core role of clinical trials in drug development will continue
to drive the progress of innovative drug development and clinical treatment.",http://arxiv.org/abs/2412.09378v2,"Tianyang Wang, Ming Liu, Benji Peng, Xinyuan Song, Charles Zhang, Xintian Sun, Qian Niu, Junyu Liu, Silin Chen, Keyu Chen, Ming Li, Pohsun Feng, Ziqian Bi, Yunze Wang, Yichao Zhang, Cheng Fei, Lawrence KQ Yan"
24,Estimating Design Operating Characteristics in Bayesian Adaptive Clinical Trials,"Bayesian adaptive designs have gained popularity in all phases of clinical
trials with numerous new developments in the past few decades. During the
COVID-19 pandemic, the need to establish evidence for the effectiveness of
vaccines, therapeutic treatments and policies that could resolve or control the
crisis emphasized the advantages offered by efficient and flexible clinical
trial designs. In many COVID-19 clinical trials, due to the high level of
uncertainty, Bayesian adaptive designs were considered advantageous. Designing
Bayesian adaptive trials, however, requires extensive simulation studies that
are generally considered challenging, particularly in time-sensitive settings
such as a pandemic. In this article, we propose a set of methods for efficient
estimation and uncertainty quantification for design operating characteristics
of Bayesian adaptive trials. Specifically, we model the sampling distribution
of Bayesian probability statements that are commonly used as the basis of
decision making. To showcase the implementation and performance of the proposed
approach, we use a clinical trial design with an ordinal disease-progression
scale endpoint that was popular among COVID-19 trial. However, the proposed
methodology may be applied generally in clinical trial context where design
operating characteristics cannot be obtained analytically.",http://arxiv.org/abs/2105.03022v2,Shirin Golchi
