docid|source|sourcetype|target|targettype|type
17|Heart Disease Trials|Topic|Annotated Eligibility Criteria Dataset|Topic|RELATED_TO
17|Type 2 Diabetes Trials|Topic|Annotated Eligibility Criteria Dataset|Topic|RELATED_TO
17|Observational Trials|Topic|Annotated Eligibility Criteria Dataset|Topic|RELATED_TO
17|Yumeng Yang|Author|Exploring The Generalization Of Cancer Clinical Trial Eligibility Classifiers Across Diseases|Paper|AUTHORED
17|Ashley Gilliam|Author|Exploring The Generalization Of Cancer Clinical Trial Eligibility Classifiers Across Diseases|Paper|AUTHORED
17|Ethan B Ludmir|Author|Exploring The Generalization Of Cancer Clinical Trial Eligibility Classifiers Across Diseases|Paper|AUTHORED
17|Kirk Roberts|Author|Exploring The Generalization Of Cancer Clinical Trial Eligibility Classifiers Across Diseases|Paper|AUTHORED
17|Few-Shot Learning|Topic|Cross-Disease Generalization|Topic|RELATED_TO
18|Trialsynth|Topic|Chufan Gao|Author|AUTHORED
18|Trialsynth|Topic|Mandis Beigi|Author|AUTHORED
18|Trialsynth|Topic|Afrah Shafquat|Author|AUTHORED
18|Trialsynth|Topic|Jacob Aptekar|Author|AUTHORED
18|Trialsynth|Topic|Jimeng Sun|Author|AUTHORED
19|Ct-Bert|Topic|Named Entity Recognition (Ner) Models|Topic|DISCUSSES
19|Ct-Bert|Topic|Clinical Trial Nlp|Topic|DISCUSSES
19|Xiong Liu|Author|Ct-Bert|Topic|AUTHORED
19|Greg L. Hersch|Author|Ct-Bert|Topic|AUTHORED
19|Iya Khalil|Author|Ct-Bert|Topic|AUTHORED
19|Murthy Devarakonda|Author|Ct-Bert|Topic|AUTHORED
19|Ct-Bert|Topic|Attention-Based Bilstm|Topic|RELATED_TO
19|Ct-Bert|Topic|Criteria2Query|Topic|RELATED_TO
20|Ctp-Llm|Topic|Phasetransition Dataset|Topic|RELATED_TO
20|Ctp-Llm|Topic|Clinical Trial Outcome Prediction|Topic|RELATED_TO
20|Michael Reinisch|Author|Ctp-Llm|Topic|AUTHORED
20|Jianfeng He|Author|Ctp-Llm|Topic|AUTHORED
20|Chenxi Liao|Author|Ctp-Llm|Topic|AUTHORED
20|Sauleh Ahmad Siddiqui|Author|Ctp-Llm|Topic|AUTHORED
20|Bei Xiao|Author|Ctp-Llm|Topic|AUTHORED
21|Clinical Trial Outcome (Cto) Benchmark|Topic|Clinical Trials|Topic|RELATED_TO
21|Chufan Gao|Author|Clinical Trial Outcome (Cto) Benchmark|Topic|AUTHORED
21|Jathurshan Pradeepkumar|Author|Clinical Trial Outcome (Cto) Benchmark|Topic|AUTHORED
21|Trisha Das|Author|Clinical Trial Outcome (Cto) Benchmark|Topic|AUTHORED
21|Shivashankar Thati|Author|Clinical Trial Outcome (Cto) Benchmark|Topic|AUTHORED
21|Jimeng Sun|Author|Clinical Trial Outcome (Cto) Benchmark|Topic|AUTHORED
21|Drug Discovery And Development|Topic|Clinical Trials|Topic|RELATED_TO
22|Machine Learning|Topic|Clinical Domain|Topic|RELATED_TO
22|Data Scarcity|Topic|Clinical Trials|Topic|RELATED_TO
22|Ethical Considerations|Topic|Clinical Trials|Topic|RELATED_TO
22|Clinical Trials|Topic|Privacy Regulations|Topic|RELATED_TO
22|Clinical Trials|Topic|High Costs|Topic|RELATED_TO
22|Clinical Trials|Topic|Extended Duration|Topic|RELATED_TO
22|Large Language Models|Topic|Synthetic Clinical Trials|Topic|RELATED_TO
22|Retrieval-Reasoning Few-Shot Framework|Topic|Synthetic Clinical Trials|Topic|RELATED_TO
22|Synthetic Clinical Trials|Topic|Binary Success/Failure Labels|Topic|RELATED_TO
22|Clinicaltrials.Gov|Topic|Synthetic Data|Topic|RELATED_TO
22|Synthetic Data|Topic|Real Datasets|Topic|RELATED_TO
22|Pre-Trained Model|Topic|Binary Classifier|Topic|RELATED_TO
22|Binary Classifier|Topic|Trial Outcome Prediction|Topic|RELATED_TO
22|Zerui Xu|Author|Https://Anonymous.4Open.Science/R/Retrieval_Reasoning_Clinical_Trial_Generation-3Ec4|Paper|AUTHORED
22|Fang Wu|Author|Https://Anonymous.4Open.Science/R/Retrieval_Reasoning_Clinical_Trial_Generation-3Ec4|Paper|AUTHORED
22|Yuanyuan Zhang|Author|Https://Anonymous.4Open.Science/R/Retrieval_Reasoning_Clinical_Trial_Generation-3Ec4|Paper|AUTHORED
22|Yue Zhao|Author|Https://Anonymous.4Open.Science/R/Retrieval_Reasoning_Clinical_Trial_Generation-3Ec4|Paper|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Tianyang Wang|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Ming Liu|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Benji Peng|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Xinyuan Song|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Charles Zhang|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Xintian Sun|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Qian Niu|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Junyu Liu|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Silin Chen|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Keyu Chen|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Ming Li|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Pohsun Feng|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Ziqian Bi|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Yunze Wang|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Yichao Zhang|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Cheng Fei|Author|AUTHORED
23|From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development|Paper|Lawrence Kq Yan|Author|AUTHORED
23|Clinical Trials|Topic|Drug Development|Topic|RELATED_TO
23|Phase I|Topic|Clinical Trials|Topic|RELATED_TO
23|Phase Ii|Topic|Clinical Trials|Topic|RELATED_TO
23|Phase Iii|Topic|Clinical Trials|Topic|RELATED_TO
23|Phase Iv|Topic|Clinical Trials|Topic|RELATED_TO
23|Challenges In Clinical Trials|Topic|Clinical Trials|Topic|RELATED_TO
23|Innovative Technologies|Topic|Clinical Trials|Topic|RELATED_TO
23|Emerging Therapies|Topic|Clinical Trials|Topic|RELATED_TO
23|Regulatory Reforms|Topic|Clinical Trials|Topic|RELATED_TO
23|Global Collaboration|Topic|Clinical Trials|Topic|RELATED_TO
24|Bayesian Adaptive Designs|Topic|Clinical Trials|Topic|RELATED_TO
24|Covid-19 Pandemic|Topic|Clinical Trials|Topic|RELATED_TO
24|Shirin Golchi|Author|Efficient Estimation And Uncertainty Quantification|Topic|AUTHORED
24|Efficient Estimation And Uncertainty Quantification|Topic|Design Operating Characteristics|Topic|RELATED_TO
24|Design Operating Characteristics|Topic|Ordinal Disease-Progression Scale Endpoint|Topic|RELATED_TO
24|Clinical Trial Design|Topic|Covid-19 Pandemic|Topic|RELATED_TO
25|Artificial Intelligence For In Silico Clinical Trials: A Review|Paper|Zifeng Wang|Author|AUTHORED
25|Artificial Intelligence For In Silico Clinical Trials: A Review|Paper|Chufan Gao|Author|AUTHORED
25|Artificial Intelligence For In Silico Clinical Trials: A Review|Paper|Lucas M. Glass|Author|AUTHORED
25|Artificial Intelligence For In Silico Clinical Trials: A Review|Paper|Jimeng Sun|Author|AUTHORED
25|Artificial Intelligence For In Silico Clinical Trials: A Review|Paper|Clinical Simulation|Topic|RELATED_TO
25|Artificial Intelligence For In Silico Clinical Trials: A Review|Paper|Individualized Predictive Modeling|Topic|RELATED_TO
25|Artificial Intelligence For In Silico Clinical Trials: A Review|Paper|Computer-Aided Trial Design|Topic|RELATED_TO
26|Clinical Trial Outcome Prediction|Topic|Machine Learning Models|Topic|DISCUSSES
26|Clinical Trial Outcome Prediction|Topic|Clinical Trials|Topic|DISCUSSES
26|Clinical Trial Outcome Prediction|Topic|Drug Portfolio|Topic|DISCUSSES
26|Language Interaction Network (Lint)|Topic|Clinical Trial Outcome Prediction|Topic|RELATED_TO
26|Language Interaction Network (Lint)|Topic|Free-Text Descriptions|Topic|DISCUSSES
26|Language Interaction Network (Lint)|Topic|Roc-Auc Scores|Topic|DISCUSSES
26|Chufan Gao|Author|Language Interaction Network (Lint)|Topic|AUTHORED
26|Tianfan Fu|Author|Language Interaction Network (Lint)|Topic|AUTHORED
26|Jimeng Sun|Author|Language Interaction Network (Lint)|Topic|AUTHORED
26|Biologics|Topic|Clinical Trial Outcome Prediction|Topic|RELATED_TO
26|Small-Molecule Drugs|Topic|Clinical Trial Outcome Prediction|Topic|RELATED_TO
26|Graph Neural Networks|Topic|Biologics|Topic|DISCUSSES
26|Phases I, Ii, And Iii|Topic|Language Interaction Network (Lint)|Topic|RELATED_TO
27|Rats|Topic|Random Dot Motion Task|Topic|RELATED_TO
27|Random Dot Motion Task|Topic|Stimulus Integration|Topic|DISCUSSES
27|Rats|Topic|Trial Difficulty|Topic|RELATED_TO
27|Rats|Topic|Reward-Related Parameters|Topic|RELATED_TO
27|Pamela Reinagel|Author|Rats|Topic|AUTHORED
27|Emily Mankin|Author|Rats|Topic|AUTHORED
27|Adam Calhoun|Author|Rats|Topic|AUTHORED
28|Bayesian Trial Monitoring Scheme|Topic|Clinical Trials|Topic|RELATED_TO
28|Latent Gaussian Process (Lgp)|Topic|Discrete Longitudinal Data|Topic|RELATED_TO
28|Yanxun Xu|Author|A Latent Gaussian Process Model With Application To Monitoring Clinical Trials|Paper|AUTHORED
28|Yuan Ji|Author|A Latent Gaussian Process Model With Application To Monitoring Clinical Trials|Paper|AUTHORED
28|Posterior Inference|Topic|Monte Carlo Algorithm|Topic|RELATED_TO
28|Simulation Studies|Topic|Clinical Scenarios|Topic|RELATED_TO
28|Case Study|Topic|Real-Life Trial|Topic|RELATED_TO
28|Trial Monitoring|Topic|Futility|Topic|RELATED_TO
28|Repeated Outcomes|Topic|Binary Outcomes|Topic|RELATED_TO
28|Posterior Consistency Property|Topic|Latent Gaussian Process (Lgp)|Topic|RELATED_TO
28|Observed Longitudinal Binary Outcomes|Topic|Latent Gaussian Process (Lgp)|Topic|RELATED_TO
28|Overall Trial Design|Topic|Sample Size|Topic|RELATED_TO
28|Overall Trial Design|Topic|Power Calculation|Topic|RELATED_TO
